Name:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1-A;B1-A;R1-A
Username:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1 VioBlue-A;B1 FITC-A;R1 APC-A
Id:
0;0;0;0;1;2;3;5;8
Resolution:
4;4;4;4;4;4;4;4;4
Data min:
0.;0.;0.;0.;0.;0.;0.;0.;0.
Data max:
40.48320007324219;1000.;1000.;25.;1000.;1000.;1000.;1000.;1000.
Format:
Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear
Scale:
Linear;Linear;Linear;Linear;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic
Data factor:
2.470160461962223e-002;1.000000047497451e-003;1.000000047497451e-003;3.999999910593033e-002;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003
Gain:
1.;1.;1.;1.;1.;1.;1.;1.;1.
Data:
1.949738711118698e-002;4.566666757455096e-005;4.566666757455096e-005;1.15999998524785e-002;4.799884930253029e-002;1.083026174455881e-002;9.210603311657906e-003;6.554561550728977e-004;2.061583800241351e-003
1.954811438918114e-002;4.600000102072954e-005;4.600000102072954e-005;1.15999998524785e-002;5.497696250677109e-002;9.923624806106091e-003;9.524844586849213e-003;4.544287919998169e-003;7.871565409004688e-003
2.007541991770268e-002;4.666666791308671e-005;4.666666791308671e-005;1.327999960631132e-002;5.90040385723114e-002;1.617112569510937e-002;1.919694803655148e-002;2.873876132071018e-002;2.410008013248444e-002
2.021561190485954e-002;4.70000013592653e-005;4.70000013592653e-005;1.327999960631132e-002;8.176668733358383e-002;1.945426687598229e-002;1.7130421474576e-002;3.524374961853027e-002;4.209281876683235e-002
2.035810053348541e-002;4.733333480544388e-005;4.733333480544388e-005;1.327999960631132e-002;5.495494231581688e-002;1.457015331834555e-002;1.06217423453927e-002;4.503399599343538e-003;7.538961246609688e-003
2.050947211682797e-002;4.766666825162247e-005;4.766666825162247e-005;1.327999960631132e-002;5.171352252364159e-002;1.215354818850756e-002;9.367024526000023e-003;7.935876492410898e-004;2.567517338320613e-003
2.088283933699131e-002;4.800000169780105e-005;4.800000169780105e-005;1.327999960631132e-002;7.666037231683731e-002;1.570210605859757e-002;1.855234988033772e-002;6.802890449762344e-002;3.127130120992661e-002
2.108827233314514e-002;4.833333150600083e-005;4.833333150600083e-005;1.327999960631132e-002;4.913994669914246e-002;1.000823453068733e-002;1.000959519296885e-002;9.834850206971169e-004;2.243052236735821e-003
2.126318402588368e-002;4.866666495217942e-005;4.866666495217942e-005;1.327999960631132e-002;7.686985284090042e-002;2.030318789184094e-002;9.797126986086369e-003;2.058659680187702e-003;6.409643217921257e-003
2.173792198300362e-002;5.033333218307234e-005;5.033333218307234e-005;1.327999960631132e-002;7.445089519023895e-002;1.494880486279726e-002;1.895889453589916e-002;5.082174763083458e-002;1.896020770072937e-002
